gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
LINC01637	7.97703490733642	4.4053485830831	288.481598932504	10137.710561159	27316900.6446787	51309607.8328981	1.531522434456	34.0407426137321
TOLLIP	2.04716337281411	3.07508264489684	1603.81922280946	10096.3572527029	21551686.8327298	56405759.0868353	1.52212750168181	33.9018745279068
PIK3R5	10.3817947609428	5.25362117462469	184.855479362142	10082.3906584828	2793845.61718718	60566581.1156962	1.31105050973385	33.8542754615653
TXNDC11	2.25243200168192	4.15124626547938	1077.43156388987	10074.4160252088	574863.215492365	17736083.3719327	0.53634375867576	33.824901073482
SLC12A9	1.94261595694217	3.00139592842804	1709.77193437161	9968.92720622368	22336175.0443481	52638165.3939726	1.47996033159797	33.4739087313056
TMEM45B	6.74228277733158	4.47412714109957	329.036325336679	9925.65397469628	6633510.95085624	64066686.6253702	1.41871421531933	33.3284207562077
IDH2	2.22155810991089	3.51455172967608	1265.54137696969	9881.06978843294	2055313.27964566	60495030.3517757	1.29895942061773	33.1783350457739
CIAO2A	1.86573945210491	3.09612490211939	1706.91791063744	9860.11778582486	7814932.44714911	63915414.4217531	1.43356833473765	33.1084442654984
MFSD6	3.40755343003447	4.55685927010068	631.921422231477	9812.31245228983	1327108.65785348	47200506.505391	1.08197785135673	32.9467657650676
PC	3.56207488217645	5.53085728198709	490.047853126623	9654.59339265768	7751513.03430636	65260140.0248598	1.45196092882663	32.4184935952796
GLB1	1.97089484191568	3.13848064510254	1554.24280645572	9613.94810666203	12356414.2578387	66116932.782108	1.52937373339885	32.2822940136641
ARHGAP25	10.3880259526369	5.40253967418709	170.174568204624	9550.48986706329	892807.411343432	50611427.9091677	1.12936455945356	32.067901045007
TGM2	6.37806620267034	3.16637911337264	471.95124790592	9531.23272005045	17954428.8015589	59994833.7771565	1.52201245234004	32.0045667687578
CD93	7.68824201668054	3.55469929776416	347.683043761526	9501.96497703383	21977511.6363187	51697381.6010725	1.4614459169326	31.9061020680903
MYO9B	2.6831432053373	2.90507458149387	1212.23726249834	9449.0635200725	4188920.71248669	62030766.0660087	1.35338636790023	31.7281318319789
RAB33A	4.36561441861362	3.07111304460514	703.346671780487	9429.97658923448	999874.375404182	67632686.232323	1.38871575099833	31.6641693921674
RGS1	8.2440660064558	3.51513107695316	324.37862238428	9400.15921650495	358869.954276956	22600808.7946304	0.631233865972475	31.5615196331612
TNFSF8	9.21590933742687	4.61000638361979	218.237642007256	9271.91370699836	2945661.72868925	63406740.7040408	1.35533885763409	31.1333886867802
MFNG	6.43826040790756	4.17338445408569	344.056780126187	9244.57719309743	3142107.79041155	56875703.0570404	1.26087280507551	31.0412939403938
ST3GAL6	2.74798360325235	3.23748383876447	1039.039988438	9243.87381164152	25323169.657381	51699189.7990663	1.5089591555211	31.0397653662291
SLC8A1	3.92963900271752	3.66269099168895	638.084552008136	9183.98501535398	9759149.79367607	68226621.5139952	1.52252570135458	30.8387446915306
GABARAPL1	2.75742319264364	4.2069254625632	789.723405850238	9161.00776587408	931063.256457538	37532986.5486742	0.915255585122722	30.7595637670965
SGK1	3.95106044444806	3.41299862179665	668.329462246214	9012.39863930702	2782006.0319604	49242636.4017992	1.13756951163143	30.2613808403329
DOCK11	2.74853137453497	4.69214886349774	698.296851442249	9005.5981690646	2272913.40733908	21231762.2509256	0.641987152244742	30.2368856121229
ZNF706	2.62198092741123	4.72821739019203	726.173985605898	9002.59371470184	85515.9103832899	12562254.8098481	0.410899754394492	30.2260228431525
RNPEP	2.06981933105496	3.01107127168294	1440.23037530152	8976.05366138167	12669531.2570119	67444888.6276831	1.55233580293328	30.1407514011492
SYNGR2	2.49865672544356	2.9691359865273	1206.20427990147	8948.65055367462	6677816.24954467	72938037.0009304	1.54537385053069	30.0487268574398
BORCS6	3.16337643429853	3.18320646465977	888.093317676056	8942.81579960626	1340933.42616109	25730680.5812609	0.710734849192854	30.0263355296656
ENSG00000285103	4.70275595830473	3.26144160320539	582.371214650953	8932.27221118825	594888.426115156	49720085.6784901	1.11052643701644	29.992279495282
SOCS1	4.95186637211313	4.57589733620329	393.563741029926	8917.85217042987	4551087.97489474	64278844.2620736	1.39159014912235	29.944810337875
PLXDC2	6.10352236178095	3.38327005494346	431.163204300951	8903.4617187316	26916855.8852884	51825971.6074594	1.53315349050067	29.8969721723505
SLC46A2	6.39416242262057	3.56334607625597	389.29553675226	8869.9483731587	20233170.9913377	56176219.9510765	1.50030274763349	29.7843466501428
TNFSF13B	6.26785668404324	4.10999224562516	343.606821807154	8851.60117318051	9243866.22777042	67980558.2610519	1.51180850798992	29.7227877444211
SLC17A9	13.126094058557	9.56681847770619	69.8348613128554	8769.50985866873	350482.697082367	48460413.2098704	1.0865219318277	29.4457526015735
CD48	10.0491379154201	4.46858973415864	195.219086638635	8766.40572203838	2431434.11439435	55811256.2834497	1.23390845373122	29.435825827108
